"id";"level";"section";"heading";"text";"attachments";"deleted";"diagram";"qname";"type";"updated";"website"
"its-time-1";"1";"1";"FuzzyTime";"An instant in time designated by a timeReference event coupled with a defined offset either before or after the referenced event. Possible codes can include `dawn`, `dusk`, `start of rain`, `start of school`, etc. The offset indicates the amount of units of time from this event either before or after the time reference code.";"";"";"https://w3id.org/itsdata/time/v1/diagrams/FuzzyTime.dot.svg";"FuzzyTime";"class";"2026-04-15T11:11:25.219661";"https://w3id.org/itsdata/time/v1/FuzzyTime"
"its-time-2";"1";"2";"DayWeekMonth";"Specification of recurring periods based on applicable days of week and months.";"";"";"https://w3id.org/itsdata/time/v1/diagrams/DayWeekMonth.dot.svg";"DayWeekMonth";"class";"2026-04-15T11:11:25.219661";"https://w3id.org/itsdata/time/v1/DayWeekMonth"
"its-time-3";"1";"3";"ValidityStatusCode";"Code for validity status.";"";"";"https://w3id.org/itsdata/time/v1/diagrams/ValidityStatusCode.dot.svg";"ValidityStatusCode";"class";"2026-04-15T11:11:25.219661";"https://w3id.org/itsdata/time/v1/ValidityStatusCode"
"its-time-4";"1";"4";"InstanceOfDayWithinMonth";"Recurring periods by the nth occurrence of a weekday in a month.";"";"";"https://w3id.org/itsdata/time/v1/diagrams/InstanceOfDayWithinMonth.dot.svg";"InstanceOfDayWithinMonth";"class";"2026-04-15T11:11:25.219661";"https://w3id.org/itsdata/time/v1/InstanceOfDayWithinMonth"
"its-time-5";"1";"5";"PublicEventCode";"Code that provides for an identification of public event types.";"";"";"https://w3id.org/itsdata/time/v1/diagrams/PublicEventCode.dot.svg";"PublicEventCode";"class";"2026-04-15T11:11:25.219661";"https://w3id.org/itsdata/time/v1/PublicEventCode"
"its-time-6";"1";"6";"PublicHoliday";"A specialization representing named public holidays.";"";"";"https://w3id.org/itsdata/time/v1/diagrams/PublicHoliday.dot.svg";"PublicHoliday";"class";"2026-04-15T11:11:25.219661";"https://w3id.org/itsdata/time/v1/PublicHoliday"
"its-time-7";"1";"7";"ClockTime";"A description of a time within a single day (hours, minutes, seconds, etc.), recurring daily. Date components (year, month, day) must not be present.";"";"";"https://w3id.org/itsdata/time/v1/diagrams/ClockTime.dot.svg";"ClockTime";"class";"2026-04-15T11:11:25.219661";"https://w3id.org/itsdata/time/v1/ClockTime"
"its-time-8";"1";"8";"SpecialDay";"Recurring periods based on special days, including public holidays.";"";"";"https://w3id.org/itsdata/time/v1/diagrams/SpecialDay.dot.svg";"SpecialDay";"class";"2026-04-15T11:11:25.219661";"https://w3id.org/itsdata/time/v1/SpecialDay"
"its-time-9";"1";"9";"ScheduleThing";"Added for organizational purposes, to identify classes defined in the Schedule Pattern for ITS.";"";"";"https://w3id.org/itsdata/time/v1/diagrams/ScheduleThing.dot.svg";"ScheduleThing";"class";"2026-04-15T11:11:25.219661";"https://w3id.org/itsdata/time/v1/ScheduleThing"
"its-time-10";"1";"10";"TimePeriodOfDay";"Recurring periods within a single day using start and end times.";"";"";"https://w3id.org/itsdata/time/v1/diagrams/TimePeriodOfDay.dot.svg";"TimePeriodOfDay";"class";"2026-04-15T11:11:25.219661";"https://w3id.org/itsdata/time/v1/TimePeriodOfDay"
"its-time-11";"1";"11";"Period";"A single valid or invalid period, or a set of repeating periods.";"";"";"https://w3id.org/itsdata/time/v1/diagrams/Period.dot.svg";"Period";"class";"2026-04-15T11:11:25.219661";"https://w3id.org/itsdata/time/v1/Period"
"its-time-12";"1";"12";"Schedule";"The class defining the temporal validity of a situation element or its impact.";"";"";"https://w3id.org/itsdata/time/v1/diagrams/Schedule.dot.svg";"Schedule";"class";"2026-04-15T11:11:25.219661";"https://w3id.org/itsdata/time/v1/Schedule"
"its-time-13";"1";"13";"TimeOfDay";"A description of a time within a single day, which can be an explicit time (e.g., 08:30) or a time reference (e.g., `dusk`).";"";"";"https://w3id.org/itsdata/time/v1/diagrams/TimeOfDay.dot.svg";"TimeOfDay";"class";"2026-04-15T11:11:25.219661";"https://w3id.org/itsdata/time/v1/TimeOfDay"
"its-time-14";"1";"14";"WeekCode";"Code that provides for a unique identification for weeks within a month.";"";"";"https://w3id.org/itsdata/time/v1/diagrams/WeekCode.dot.svg";"WeekCode";"class";"2026-04-15T11:11:25.219661";"https://w3id.org/itsdata/time/v1/WeekCode"
"its-time-15";"1";"15";"DateWithinMonth";"Recurring periods by the nth day in a month.";"";"";"https://w3id.org/itsdata/time/v1/diagrams/DateWithinMonth.dot.svg";"DateWithinMonth";"class";"2026-04-15T11:11:25.219661";"https://w3id.org/itsdata/time/v1/DateWithinMonth"
